Designator,Val,Package,Mid X,Mid Y,Rotation,Side
BUF1,BUF634,SO-8_3.9x4.9mm_P1.27mm,106.4,-70.4,0,top
BUF2,BUF634,SO-8_3.9x4.9mm_P1.27mm,143,-103.55,90,top
C1,1n,C_0805_2012Metric,96.75,-86.3,-90,top
C3,100n,C_0805_2012Metric,144.05,-122,180,top
C4,22u,CP_Radial_D5.0mm_P2.00mm,95,-127,0,top
C5,100n,C_0805_2012Metric,90.45,-125.05,-90,top
C6,22u,CP_Radial_D5.0mm_P2.00mm,102,-127,0,top
C7,CP,CP_Radial_D8.0mm_P5.00mm,141.152651,-126.5,180,top
C8,100n,C_0805_2012Metric,130.5,-131.55,-90,top
C9,CP,CP_Radial_D8.0mm_P5.00mm,136.097349,-138.25,0,top
C10,100n,C_0805_2012Metric,130.5,-137.95,90,top
C14,100n,C_0805_2012Metric,100.95,-72.4,180,top
C15,1n,C_0805_2012Metric,87,-59.3,90,top
C16,10n,C_0805_2012Metric,89.5,-59.3,90,top
C17,100n,C_0805_2012Metric,116,-106,180,top
C18,100n,C_0805_2012Metric,146.365,-108.525,-90,top
C19,100n,C_0805_2012Metric,109.95,-74.1,0,top
C22,100n,C_0805_2012Metric,141.5,-98,90,top
C23,100n,C_0805_2012Metric,137.3,-81,180,top
C24,100n,C_0805_2012Metric,111.4,-67.55,90,top
C25,10n,C_0805_2012Metric,94.25,-86.25,-90,top
D1,D,D_SMA,96.5,-119.5,180,top
D2,D_TVS,D_SMA,85.45,-126.55,-90,top
D3,LED,LED_1206_3216Metric,79.1,-129,0,top
D4,LED,LED_1206_3216Metric,108,-117,90,top
D5,LED,LED_1206_3216Metric,105,-117,-90,top
FB1,Ferrite_Bead,R_0805_2012Metric,89.4125,-119.5,180,top
J1,Conn_Coaxial,BNC_TEConnectivity_1478204_Vertical,78,-68,0,top
J2,Conn_Coaxial,BNC_TEConnectivity_1478204_Vertical,78.175,-86.125,0,top
J3,Conn_Coaxial,BNC_TEConnectivity_1478204_Vertical,78,-104.5,0,top
J4,Conn_Coaxial,BNC_TEConnectivity_1478204_Vertical,155.325,-88,8,top
J5,Conn_Coaxial,BNC_TEConnectivity_1478204_Vertical,155.5,-104,-8,top
J6,Conn_Coaxial,BNC_TEConnectivity_1478204_Vertical,152.5,-72.75,15,top
J7,Conn_Coaxial,BNC_TEConnectivity_1478204_Vertical,153.5,-119,-15,top
J8,Barrel_Jack_Switch,BarrelJack_Horizontal,83.5,-118,0,top
J9,USB_B_Micro,USB_Micro-B_Wuerth_629105150521,86.125,-138.55,0,top
J10,Conn_02x02_Counter_Clockwise,PinHeader_2x02_P2.54mm_Vertical,119.725,-112.275,-90,top
J11,Screw_Terminal_01x03,TerminalBlock_bornier-3_P5.08mm,95.5,-136.5,0,top
J12,Conn_02x02_Counter_Clockwise,PinHeader_2x02_P2.54mm_Vertical,131.775,-94.225,-90,top
J13,Conn_02x02_Counter_Clockwise,PinHeader_2x02_P2.54mm_Vertical,129.5,-105.04,90,top
J14,Conn_02x02_Counter_Clockwise,PinHeader_2x02_P2.54mm_Vertical,137.775,-105.04,180,top
J15,Conn_02x02_Counter_Clockwise,PinHeader_2x02_P2.54mm_Vertical,89.54,-65.04,180,top
J16,Conn_02x02_Counter_Clockwise,PinHeader_2x02_P2.54mm_Vertical,94.225,-80.475,0,top
J17,Conn_02x02_Counter_Clockwise,PinHeader_2x02_P2.54mm_Vertical,141.5,-76,90,top
L1,10u,L_Taiyo-Yuden_NR-60xx_HandSoldering,124.275,-138.5,180,top
L2,10u,L_Taiyo-Yuden_NR-60xx_HandSoldering,124.275,-130.5,180,top
R1,1k,R_1206_3216Metric,100,-77.0375,90,top
R2,10k,R_1206_3216Metric,117,-81,90,top
R3,DNP,R_1206_3216Metric,114.5,-81.0375,-90,top
R4,DNP,R_1206_3216Metric,106.1375,-65,0,top
R5,47,R_1206_3216Metric,88,-104.5,180,top
R6,47,R_1206_3216Metric,88,-86,180,top
R7,10k,R_1206_3216Metric,124.45,-115.05,0,top
R8,10k,R_1206_3216Metric,136,-96.5,180,top
R9,100,R_1206_3216Metric,137,-76,180,top
R10,0,R_1206_3216Metric,113.6,-72.5375,-90,top
R11,1k,R_1206_3216Metric,124.45,-112.55,180,top
R12,1k,R_1206_3216Metric,136,-94,180,top
R13,1k,R_1206_3216Metric,73.9625,-129,180,top
R14,10k,R_1206_3216Metric,137.5,-109.5375,-90,top
R15,50,R_1206_3216Metric,100.0375,-70,0,top
R17,50,R_1206_3216Metric,147,-113.0375,90,top
R18,100,R_1206_3216Metric,135,-109.5375,-90,top
R19,1k,R_1206_3216Metric,108,-111.39,90,top
R20,1k,R_1206_3216Metric,105,-111.39,90,top
R21,DNP,R_1206_3216Metric,142.8275,-109.975,0,top
R22,1k,R_1206_3216Metric,87.9625,-68,180,top
R23,DNP,R_1206_3216Metric,123,-78.5,0,top
R24,10k,R_1206_3216Metric,137,-73.5,180,top
Reg1,DPUN02L-XX,SIP-2W-7,115,-132,-90,top
U1,LM358,SO-8_3.9x4.9mm_P1.27mm,106.525,-77.565,0,top
U2,LM358,SO-8_3.9x4.9mm_P1.27mm,143,-117,-90,top
U3,INA129,DIP-8_W7.62mm,126.95,-108.3,180,top
U4,INA129,DIP-8_W7.62mm,138.5,-91.25,180,top
U5,L7805,TO-220-3_Vertical,92.42,-115,0,top
