Designator,MidX,MidY,Layer,Rotation
C1,94,-64.5,top,-90
C2,141.9375,-111,top,180
C3,147.145,-137.575,top,180
C8,112.55,-123.5,top,0
C10,121,-123.5,top,180
C11,107.475,-64.935,top,90
C12,119.5375,-52,top,0
C13,153.2525,-130,top,0
C14,110,-65,top,-90
C15,94,-55,top,90
C17,131.5,-101,top,180
C18,145.19,-127.5,top,0
C19,120,-56.75,top,0
C20,111.975,-65,top,-90
C21,145.19,-125.5,top,0
C22,147.19,-140,top,180
C23,141,-84.5,top,0
C24,119.975,-54.5,top,0
C26,108.25,-137,top,180
D1,142.5,-103.35,top,-90
D2,133.75,-133,top,0
D3,134.5,-114.25,top,0
D4,106.25,-108,top,180
D5,106.5,-105.25,top,0
D7,149.25,-90,top,180
F1,104.75,-124.25,top,0
J2,100.75,-138.75,top,0
K1,145.250001,-92.65,top,180
K2,137.25,-130.350001,top,0
L1,122.5,-129,top,-90
L2,111,-129,top,-90
Q1,148.25,-108.5,top,180
Q2,141,-114.5,top,-90
Q3,136,-136.25,top,90
Q4,144.8,-89.0625,top,90
Q20,93,-130.25,top,180
Q21,93,-133.75,top,180
Q22,93,-123.25,top,180
Q23,93,-126.75,top,180
R1,92.5,-61,top,180
R2,124.475,-61.435,top,-90
R7,126.5,-107.5,top,-90
R8,133.75,-96.75,top,180
R9,144.15375,-70.96,top,180
R10,121.975,-61.435,top,-90
R14,142.5,-121.2125,top,-90
R16,151.19,-124,top,0
R18,140,-121.2125,top,-90
R19,101,-108,top,180
R20,101,-105,top,180
R22,92.5,-58.5,top,180
R24,144.15375,-68.46,top,180
R26,134.75,-80.75,top,0
R28,144.2275,-56.735,top,180
R29,144.3025,-54.235,top,180
R30,136,-60.5,top,180
R31,136,-63.5,top,0
R113,85,-129.25,top,0
R114,85,-132.25,top,0
R115,85,-123.5,top,0
R116,85,-126.5,top,0
U1,116.5,-60.5,top,0
U2,146.095,-132.575,top,-90
